Configuration,Run,Fitness,Evaluations,Runtime
HC_Standard,1,inf,1,0.0012311935424804688
HC_Standard,2,inf,1,0.0014064311981201172
HC_Standard,3,inf,1,0.0011644363403320312
HC_Standard,4,inf,1,0.0008833408355712891
HC_Standard,5,inf,1,0.0012292861938476562
HC_Valid_Initial,4,0.05714285714285552,13516,1.8848674297332764
HC_Valid_Initial,1,0.05714285714285552,13503,1.897841453552246
HC_Valid_Initial,2,0.05714285714285552,13404,2.026190757751465
HC_Valid_Initial,3,0.10690449676496672,13268,2.061213731765747
HC_Valid_Initial,5,0.05714285714285552,13507,1.959846019744873
SA_Standard,1,inf,6561,3.474641799926758
SA_Standard,3,inf,6561,3.683457374572754
SA_Standard,2,inf,6561,3.742744207382202
SA_Standard,4,inf,6561,3.4364421367645264
SA_Standard,5,inf,6561,3.5108518600463867
GA_Tournament_OnePoint,3,0.05714285714285552,39819,62.93014359474182
GA_Tournament_OnePoint,1,0.05714285714285552,39931,385.3820903301239
GA_Tournament_OnePoint,2,0.05714285714285552,39863,710.1220257282257
GA_Tournament_OnePoint,4,0.05714285714285552,39925,708.498046875
GA_Tournament_OnePoint,5,0.10690449676496672,39929,793.6938984394073
GA_Ranking_Uniform,1,0.05714285714285552,991453,579.2342686653137
GA_Ranking_Uniform,3,0.05714285714285552,990923,268.16708064079285
GA_Ranking_Uniform,2,0.05714285714285552,991287,278.36305117607117
GA_Ranking_Uniform,4,0.05714285714285552,992079,166.67997646331787
GA_Ranking_Uniform,5,0.05714285714285552,991419,173.89284586906433
GA_Boltzmann_TeamShift,1,0.16659862556700383,994039,163.25483965873718
GA_Boltzmann_TeamShift,2,0.16659862556700822,995733,171.3728678226471
GA_Boltzmann_TeamShift,3,0.35456210417116735,995935,180.85060787200928
GA_Hybrid,1,0.05714285714285552,24156,57.8582968711853
GA_Hybrid,2,0.05714285714285552,24146,49.53082227706909
GA_Hybrid,3,0.05714285714285552,24090,54.07107472419739
GA_Hybrid,4,0.05714285714285552,24274,55.218515396118164
GA_Boltzmann_TeamShift,4,0.20995626366712705,994611,174.8792326450348
GA_Boltzmann_TeamShift,5,0.37688302737922585,992507,177.36208033561707
GA_Hybrid,5,0.05714285714285552,24216,48.75979471206665
