Configuration,Run,Fitness,Evaluations,Runtime
HC_Standard,1,inf,1,0.0006883144378662109
HC_Standard,2,inf,1,0.0006926059722900391
HC_Standard,3,inf,1,0.0006771087646484375
HC_Standard,4,inf,1,0.0006780624389648438
HC_Standard,5,inf,1,0.0008428096771240234
HC_Valid_Initial,4,0.05714285714285552,13647,1.3853979110717773
HC_Valid_Initial,2,0.05714285714285552,13386,1.534275770187378
HC_Valid_Initial,5,0.05714285714285552,13387,1.5365686416625977
HC_Valid_Initial,1,0.05714285714285552,13749,1.5798156261444092
HC_Valid_Initial,3,0.05714285714285552,13871,1.587839126586914
SA_Standard,2,inf,6561,3.071842670440674
SA_Standard,4,inf,6561,3.1255106925964355
SA_Standard,3,inf,6561,3.231656551361084
SA_Standard,1,inf,6561,3.299344539642334
SA_Standard,5,inf,6561,3.3395578861236572
GA_Hybrid,4,0.05714285714285552,24118,20.338561058044434
GA_Hybrid,5,0.05714285714285552,76300,28.658764123916626
GA_Hybrid,1,0.05714285714285552,76550,29.809460639953613
GA_Hybrid,2,0.05714285714285552,75671,30.27689790725708
GA_Hybrid,3,0.05714285714285552,24080,31.384968519210815
GA_Tournament_OnePoint,1,0.05714285714285552,39961,31.73797297477722
GA_Tournament_OnePoint,4,0.05714285714285552,40007,33.891979455947876
GA_Tournament_OnePoint,5,0.05714285714285552,40163,39.58950972557068
GA_Tournament_OnePoint,3,0.05714285714285552,39837,44.902729988098145
GA_Tournament_OnePoint,2,0.05714285714285552,40029,47.312511682510376
GA_Ranking_Uniform,4,0.05714285714285552,990789,71.67133617401123
GA_Boltzmann_TeamShift,4,0.22857142857142845,995481,72.18260717391968
GA_Ranking_Uniform,3,0.05714285714285552,993117,73.8279972076416
GA_Ranking_Uniform,2,0.05714285714285552,991511,75.27331972122192
GA_Boltzmann_TeamShift,3,0.3979539507766909,995739,76.69102048873901
GA_Boltzmann_TeamShift,1,0.13997084244475427,995529,82.42080569267273
GA_Ranking_Uniform,5,0.05714285714285552,991591,84.14321899414062
GA_Ranking_Uniform,1,0.05714285714285552,991947,87.73683595657349
GA_Boltzmann_TeamShift,2,0.5221619109284895,996137,89.13603067398071
GA_Boltzmann_TeamShift,5,0.2457807219155049,995763,96.84695959091187
