Configuration,Run,Fitness,Evaluations,Runtime
HC_Standard,1,inf,1,0.0008518695831298828
HC_Standard,2,inf,1,0.001043081283569336
HC_Standard,3,inf,1,0.0010755062103271484
HC_Standard,4,inf,1,0.0010380744934082031
HC_Standard,5,inf,1,0.001058340072631836
HC_Valid_Initial,4,0.10690449676496672,13151,1.5223889350891113
HC_Valid_Initial,2,0.05714285714285552,13412,1.5343670845031738
HC_Valid_Initial,3,0.05714285714285552,13543,1.5435669422149658
HC_Valid_Initial,1,0.05714285714285552,13769,1.6508562564849854
HC_Valid_Initial,5,0.05714285714285552,13506,1.6543467044830322
SA_Standard,1,inf,6561,2.2074944972991943
SA_Standard,5,inf,6561,2.7001891136169434
SA_Standard,2,inf,6561,2.9601173400878906
SA_Standard,3,inf,6561,2.980170488357544
SA_Standard,4,inf,6561,3.2064740657806396
GA_Hybrid,4,0.05714285714285552,76339,24.451356887817383
GA_Hybrid,3,0.05714285714285552,24094,24.575167179107666
GA_Tournament_OnePoint,5,0.05714285714285552,39937,27.51034426689148
GA_Hybrid,1,0.05714285714285552,76159,28.045438766479492
GA_Tournament_OnePoint,1,0.05714285714285552,39957,28.915923357009888
GA_Tournament_OnePoint,4,0.05714285714285552,39961,31.957709550857544
GA_Hybrid,2,0.05714285714285552,76119,37.55966234207153
GA_Hybrid,5,0.05714285714285552,24140,38.23595833778381
GA_Tournament_OnePoint,2,0.05714285714285552,39801,39.83397579193115
GA_Tournament_OnePoint,3,0.10690449676496672,39887,44.04251217842102
GA_Ranking_Uniform,5,0.05714285714285552,991461,70.51560115814209
GA_Boltzmann_TeamShift,3,0.31815796359028276,996129,72.56643581390381
GA_Boltzmann_TeamShift,5,0.41796396680936704,995455,73.66012740135193
GA_Ranking_Uniform,4,0.05714285714285552,991185,73.86239671707153
GA_Ranking_Uniform,3,0.05714285714285552,991309,76.60582304000854
GA_Boltzmann_TeamShift,2,0.3658928135675907,995193,76.84700751304626
GA_Ranking_Uniform,2,0.05714285714285552,991843,86.07119083404541
GA_Boltzmann_TeamShift,1,0.330738197222578,995001,89.26085066795349
GA_Boltzmann_TeamShift,4,0.3979539507766878,995907,89.38044095039368
GA_Ranking_Uniform,1,0.05714285714285552,991165,89.68780398368835
